CAU_num_2001	CAU_name_2001	CAU_average_NZDep2001	CAU_average_NZDep_score_2001
500100	Awanui	10	1117
500202	Mangonui East	9	1101
500203	Taipa Bay-Mangonui	9	1071
500204	Mangonui West	9	1075
500205	Ahipara	9	1100
500206	North Cape	10	1169
500207	Houhora	9	1063
500208	Motutangi-Kareponia	9	1066
500301	Kaitaia West	10	1148
500302	Kaitaia East	10	1112
500401	Kaeo	10	1149
500402	Mangapa-Matauri Bay	9	1097
500500	Kohukohu	10	1151
500600	Rawene	10	1204
500700	Omapere and Opononi	10	1247
500801	Hokianga North	10	1201
500802	Hokianga South	10	1214
500900	Kerikeri	6	986
501000	Russell	7	1001
501100	Paihia	8	1032
501200	Haruru Falls	8	1029
501300	East Opua	6	995
501400	Kawakawa	10	1162
501500	Moerewa	10	1207
501611	Waitangi-Te Tii	5	977
501612	West Opua	3	939
501613	Bay of Islands	10	1190
501620	Pokere-Waihaha	9	1090
501631	Okaihau	9	1076
501632	Ohaeawai	8	1056
501633	Waihou Valley-Hupara	6	978
501634	Ngapuhi-Kaikou	10	1149
501700	Kaikohe	10	1209
501802	Opouteke-Tanekaha	6	982
501805	Bream Head	4	951
501806	Marsden Point-Ruakaka	8	1050
501807	Ngunguru	6	981
501809	Wharekohe-Oakleigh	4	945
501810	Maungatapere	2	926
501811	Waiotira-Springfield	3	941
501812	Waipu	5	971
501813	Whangaruru Harbour	10	1147
501814	Punaruku-Kiripaka	7	1008
502001	Springs Flat	4	955
502002	Three Mile Bush	6	980
502003	Te Hihi	2	921
502004	Abbey Caves	5	967
502005	Otaika-Portland	6	998
502101	Kamo West	5	961
502102	Kamo East	8	1050
502201	Tikipunga West	10	1112
502202	Tikipunga East	8	1043
502300	Whau Valley	7	1010
502400	Otangarei	10	1318
502500	Western Hills	4	945
502600	Kensington	8	1041
502700	Mairtown	8	1033
502800	Regent	8	1049
502900	Woodhill	8	1043
503000	Vinetown	9	1104
503100	Whangarei Central	10	1122
503200	Riverside	6	1000
503300	Horahora	6	979
503400	Maunu	2	918
503500	Raumanga East	10	1171
503600	Morningside	9	1073
503700	Parahaki	4	958
503800	Raumanga West	10	1138
503900	Port-Limeburners	7	1019
504000	Sherwood Rise	7	1015
504100	Onerahi	9	1060
504300	Hikurangi	9	1107
504400	Te Kopuru	9	1099
504501	Kaipara Coastal	7	1003
504502	Maungaru	4	957
504600	Dargaville	9	1061
504700	Maungaturoto	6	979
504800	Ruawai	9	1076
504900	Kaiwaka	8	1028
505010	Rehia-Oneriri	7	1003
505021	Mangawhai	7	1020
505022	Mangawhai Heads	7	1004
505300	Wellsford	8	1041
505400	Leigh	6	986
505500	Warkworth	5	977
505600	Kumeu	3	931
505700	Waipareira West	2	913
505802	Red Beach	4	954
505803	Waiwera	6	992
505804	Hatfields Beach	5	973
505805	Orewa	7	1002
505901	Stanmore Bay	5	968
505902	Manly	5	968
505904	Army Bay	3	933
505905	Gulf Harbour	2	925
506000	Silverdale South	3	927
506200	Silverdale North	2	920
506300	Dairy Flat-Redvale	1	907
506400	Paremoremo West	2	910
506613	Tauhoa-Puhoi	4	955
506614	Tahekeroa	2	917
506615	Cape Rodney	5	964
506616	Matheson Bay	7	1016
506620	Kawau		
506631	Snells Beach	5	978
506632	Algies Bay-Mahurangi	5	962
506641	Parakai	8	1032
506642	South Head	5	977
506643	Kaukapakapa	3	930
506651	Muriwai Beach	2	926
506652	Rewiti	3	937
506653	Riverhead	1	900
506800	Helensville	8	1025
506901	Awaruku	2	909
506902	Glamorgan	3	928
506903	Torbay	2	922
507000	Waiake	2	914
507101	Browns Bay	3	940
507102	Oaktree	2	926
507200	Rothesay Bay	2	913
507300	Murrays Bay	1	904
507400	Mairangi Bay	1	896
507500	Campbells Bay	1	881
507710	Castor Bay	1	895
507720	Crown Hill	2	915
507800	Lake Pupuke	3	933
507900	Westlake	5	969
508010	Takapuna Central	4	947
508020	Hauraki	2	922
508110	Seacliffe	5	960
508120	Bayswater	4	952
508210	Kaipatiki	6	981
508220	Windy Ridge	5	963
508310	Glenfield Central	5	971
508320	Glenfield North	5	975
508411	Glendhu	5	967
508412	Witheford	4	955
508420	Target Road	5	970
508510	Forrest Hill	3	937
508520	Sunnynook	4	951
508610	Monarch Park	3	931
508620	Sunnybrae	5	959
508701	Albany	3	937
508702	Northcross	3	933
508801	North Harbour	1	909
508802	Pinehill	3	935
508803	Unsworth Heights	2	925
