CAU_num_2001	CAU_name_2001	CAU_average_NZDep2001	CAU_average_NZDep_score_2001
508900	Long Bay	1	899
509000	Paremoremo East	2	926
509100	Greenhithe	1	888
509300	Narrow Neck	3	936
509400	Mt Victoria	2	920
509500	Stanley Bay	1	893
509701	Ocean View	5	964
509702	Tuff Crater	8	1044
509800	Northcote South	2	924
510010	Beachhaven North	7	1008
510020	Beachhaven South	6	978
510210	Birkdale North	7	1006
510220	Birkdale South	6	994
510401	Kauri Park	3	935
510402	Chelsea	2	913
510500	Birkenhead East	2	916
510700	Henderson North	7	1011
510800	Henderson South	9	1058
511001	Tangutu	7	1021
511002	Woodglen	7	1017
511100	Glen Eden East	8	1023
511300	New Lynn North	9	1069
511401	Fruitvale	8	1047
511402	Rewarewa	8	1033
511601	Glendene North	7	1002
511602	Glendene South	6	980
511700	Kelston Central	8	1052
511800	Sunnyvale	6	996
511901	Kaurilands	3	936
511902	Crum Park	3	938
512000	Titirangi South	1	900
512100	Green Bay	5	967
512201	Matipo	7	1014
512202	Durham Green	8	1032
512300	Te Atatu Central	7	1001
512401	Edmonton	7	1010
512402	Wakeling	6	981
512500	Mcleod	6	999
512600	Konini	3	935
512700	Waima	1	895
512801	Laingholm	2	924
512802	Armour Bay	4	950
512901	Parrs Park	8	1055
512902	Otimai	1	903
513010	Sturges South	7	1012
513020	Opanuku	2	919
513100	Swanson	4	949
513210	Ranui North	9	1086
513220	Sturges North	4	945
513301	Kingdale	8	1051
513302	Fairdene	8	1048
513410	Whenuapai West	2	922
513420	Herald	1	908
513430	Hobsonville	1	907
513511	Westgate	7	1020
513512	Royal Road West	7	1014
513521	West Harbour	8	1044
513522	Lucken Point	1	908
513530	Royal Heights	7	1013
513610	West Massey	5	966
513620	Birdwood	5	973
513631	Waimumu North	8	1034
513632	Waimumu South	7	1019
513701	Taupaki	2	919
513702	Waitakere	3	934
513800	Karekare	4	955
514000	Freemans Bay	5	970
514101	Auckland Harbourside	6	979
514102	Auckland Central West	9	1085
514103	Auckland Central East	10	1120
514200	Newton	7	1014
514301	Grafton West	8	1052
514302	Grafton East	8	1029
514401	Roberton	8	1040
514402	Glenavon	9	1063
514500	New Windsor	6	989
514600	Avondale South	6	997
514700	Blockhouse Bay	4	946
514801	Rosebank	9	1066
514802	Avondale West	10	1118
514900	Waterview	9	1079
515001	Point Chevalier West	6	979
515002	Point Chevalier East	6	979
515003	Point Chevalier South	8	1055
515100	Westmere	3	937
515201	Herne Bay	1	906
515202	St Marys	3	928
515301	Ponsonby West	4	949
515302	Ponsonby East	4	942
515410	Grey Lynn West	5	966
515420	Grey Lynn East	5	962
515431	Surrey Crescent	8	1035
515432	St Lukes North	5	962
515500	Arch Hill	5	972
515600	Eden Terrace	6	983
515700	Epsom North	4	949
515801	Epsom Central	4	949
515802	Epsom South	2	921
515901	Parnell East	1	900
515902	Parnell West	4	946
516001	Mt Hobson	4	951
516002	Remuera South	2	926
516003	Abbotts Park	2	923
516101	Remuera West	1	905
516102	Waitaramoa	1	888
516201	Orakei South	1	896
516202	Waiata	1	881
516301	Meadowbank North	3	929
516302	Meadowbank South	2	913
516400	Orakei North	6	996
516500	Mission Bay	2	916
516601	Kohimarama West	1	901
516602	Kohimarama East	1	887
516700	St Heliers	1	895
516800	Glendowie	1	890
516900	Glen Innes North	3	940
517001	Glen Innes West	10	1175
517002	Glen Innes East	10	1202
517100	Point England	10	1248
517200	St Johns	7	1007
517400	Newmarket	5	975
517500	Kingsland	6	983
517600	St Lukes	7	1001
517701	Sandringham North	6	988
517702	Sandringham West	8	1031
517703	Sandringham East	8	1028
517800	Mt Albert Central	5	970
517901	Springleigh	6	997
517902	Owairaka West	9	1087
517903	Owairaka East	6	992
518101	Mt Eden North	6	994
518102	Sherbourne	5	976
518201	Balmoral	4	944
518202	Mt Eden East	4	943
518301	Maungawhau	3	934
518302	Mt Eden South	3	934
518500	Three Kings	8	1046
518600	Royal Oak	2	921
518701	Hillsborough West	6	981
518702	Hillsborough East	2	926
518801	Walmsley	10	1173
518802	Wesley	10	1123
518803	Akarana	10	1112
518901	Lynfield North	6	980
518902	Lynfield South	3	937
519001	Waikowhai West	3	935
519002	Waikowhai East	9	1070
519200	Mt St John	4	958
519300	One Tree Hill Central	2	915
519400	One Tree Hill East	4	956
519500	Penrose	7	1017
519710	Onehunga North West	7	1022
519720	Onehunga North East	5	972
519810	Onehunga South West	4	954
519820	Onehunga South East	9	1070
519900	Oranga	10	1109
520000	Te Papapa	9	1063
520201	Ellerslie North	3	938
520202	Ellerslie South	5	975
520300	Mt Wellington North	8	1040
520401	Ferndale	8	1030
520402	Hamlin	8	1038
520500	Mt Wellington South	9	1103
520601	Tamaki	10	1181
520602	Panmure Basin	6	999
520801	Waiheke Island	8	1044
520802	Bays-Waiheke Island		
520900	Islands-Motutapu, Rangitoto, Ra		
521000	Great Barrier Island		
521111	Paerata-Cape Hill	5	974
521112	Eden Road-Hill Top	4	951
521113	Buckland	3	937
521114	Redoubt	5	964
521115	Opuawhanga	3	935
521121	Patumahoe	3	936
521122	Kingseat	2	926
521131	Pokeno	3	941
521132	Hunua	2	910
521133	Mangatawhiri	5	973
521151	Awhitu	4	954
521152	Glenbrook	3	937
521153	Otaua	2	926
521160	Bombay	1	906
521201	Hingaia	1	891
521202	Whangapouri Creek	1	899
521203	Bremner	1	894
521301	Drury	3	927
521302	Runciman	2	913
521501	Mellons Bay	1	894
521502	Cockle Bay	1	890
521601	Howick West	4	946
521602	Howick Central	4	946
521800	Otahuhu East	10	1179
521901	Otahuhu West	10	1184
521902	Middlemore	9	1058
522100	Papatoetoe West	9	1071
522201	Papatoetoe North	8	1050
522202	Papatoetoe Central	8	1024
522301	Dingwall	7	1007
522302	Papatoetoe East	9	1065
522400	Puhinui	8	1024
522601	Bucklands and Eastern Beaches	2	912
522602	Bucklands Beach South	3	932
522603	Bleakhouse	1	887
522711	Pigeon Mountain North	5	970
522712	Murvale	3	938
522721	Pigeon Mountain South	5	965
522722	Aberfeldy	4	953
522723	Elsmore Park	4	949
522730	Half Moon Bay	2	917
522810	Pakuranga North	2	925
522820	Sunnyhills	2	913
522910	Pakuranga Central	5	969
522920	Edgewater	7	1006
523000	Pakuranga East	5	964
523101	Botany Downs	1	903
523102	Maungamaungaroa	3	931
523105	Golfland	1	892
523106	Millhouse	2	916
523107	Burswood	3	932
523108	East Tamaki	2	915
523109	Dannemora	2	915
523110	Kilkenny	1	885
523111	Point View	1	902
523201	Shelly Park	1	885
523202	Turanga	1	890
523300	Beachlands-Maraetai	2	926
523401	Grange	10	1150
523402	Otara West	10	1251
523501	Otara North	10	1198
523502	Otara East	10	1226
523601	Otara South	10	1225
523602	Ferguson	10	1245
523711	Flat Bush	10	1204
523712	Donegal Park	8	1028
523713	Ormiston	4	959
523721	Clover Park	10	1150
523722	Redoubt North	8	1050
523813	Ardmore	3	929
523814	Totara Heights	1	900
523815	Wairere	1	885
523816	Randwick Park	10	1114
523817	Hyperion	10	1124
523820	Redoubt South	3	936
523911	Takanini North	10	1116
523912	Takanini South	8	1045
523920	Takanini West	5	969
524001	Ambury	6	986
524002	Mangere Bridge	8	1054
524111	Mangere Central	10	1174
524112	Mascot	10	1148
524121	Arahanga	10	1202
524122	Viscount	10	1216
524200	Mangere South	10	1122
524301	Mangere East	9	1071
524302	Aorere	10	1137
524303	Kohuora	9	1068
524401	Favona	10	1134
524402	Mangere Station	10	1312
524510	Harania North	10	1196
524520	Harania West	10	1178
524530	Harania East	10	1194
524601	Manukau Central	9	1090
524602	Wiri	10	1227
524711	Burbank	10	1145
524712	Homai West	10	1166
524713	Rowandale	10	1170
524720	Homai East	9	1102
524810	Weymouth	8	1045
524820	Clendon	10	1186
524901	Hillpark	4	953
524902	Manurewa East	9	1103
525001	Manurewa Central	9	1074
525002	Beaumont	9	1084
525101	Leabank	9	1082
525102	Wattle Farm	7	1006
525200	Clevedon	3	932
525410	Papakura Central	9	1081
525420	Papakura North	8	1032
525510	Papakura South	10	1214
525520	Opaheke	4	949
525530	Rosehill	9	1088
525540	Pahurehure	2	921
525610	Papakura East	10	1158
525620	Massey Park	8	1040
525630	North East Papakura	7	1013
525700	Red Hill	9	1059
525910	Pukekohe North	9	1089
525921	Pukekohe West	6	980
525922	Bledisloe Park	5	962
526101	Waiuku	6	989
526102	South Waiuku	4	947
526200	Tuakau	8	1056
526400	Rotowaro		
526500	Raglan	9	1093
526601	Waikato Western Hills	6	992
526602	Te Uku	6	1000
526603	Te Pahu	1	909
526701	Onewhero	6	998
526702	Te Akau	5	974
526900	Te Kauwhata	8	1026
527004	Matangi	2	919
527005	Sylvester	1	886
527006	Flagstaff	1	893
527007	Horsham Downs	1	886
527008	Rototuna	1	880
527009	Huntington	1	871
527111	Whitikahu	4	952
527112	Taupiri Community	9	1097
527121	Eureka	2	911
527122	Gordonton	4	949
527123	Kainui	4	951
527131	Tamahere-Tauwhare	2	926
527132	Hautapu	2	915
527210	Waerenga	4	949
527221	Maramarua	6	984
527222	Meremere	10	1245
527401	Huntly West	10	1285
527402	Huntly East	9	1072
527501	Cambridge North	5	960
527502	Cambridge West	4	958
527503	Cambridge Central	6	992
527504	Leamington West	5	971
527505	Leamington East	5	969
527600	Ohaupo	3	930
527700	Kihikihi	8	1042
527810	Peacocke	3	927
527820	Temple View	7	1002
527911	Horotiu	5	971
527912	Te Kowhai	2	925
527913	Whatawhata	2	918
527914	Ngahinapouri	1	899
527915	Lake Cameron	2	917
527921	Te Rore	1	895
527922	Pirongia	2	922
527923	Pokuru	3	933
527924	Lake Ngaroto	2	914
527925	Tokanui	9	1094
527931	Pukerimu	1	901
527932	Kaipaki	1	905
527934	Rotoorangi	2	914
527935	Te Rahu	1	906
527936	Kihikihi Flat	2	926
527937	Allen Road	4	951
528000	Rotongata	5	959
528200	Ngaruawahia	10	1128
528310	Bryant	6	988
528320	Pukete	2	920
528402	Pukete West	4	952
528403	Te Rapa	10	1146
528405	Burbush	2	918
528406	Rotokauri	4	951
528501	Nawton	6	993
528502	Brymer	9	1057
528601	Dinsdale North	3	939
528602	Dinsdale South	7	1012
528700	Beerescourt	4	955
528800	Maeroa	8	1036
528900	Frankton Junction	9	1059
529000	Swarbrick	9	1105
529100	Hamilton Lake	6	992
529200	Melville	8	1050
529300	Glenview	4	951
529401	Queenwood	4	941
529402	Chedworth	6	990
529501	Porritt	9	1093
529502	Insoll	10	1232
529503	Fairview Downs	6	995
529600	Chartwell	2	918
529700	Hamilton Central	9	1093
529800	Clarkin	9	1091
529900	Claudelands	8	1024
530000	Enderley	10	1124
530100	Peachgrove	8	1041
530200	Hamilton East	9	1067
530300	Naylor	7	1007
530400	Bader	9	1080
530500	University	9	1066
530600	Silverdale	7	1015
530700	Hillcrest West	5	967
530800	Riverlea	3	928
531001	Te Awamutu West	6	993
531002	Te Awamutu Central	6	993
531003	Te Awamutu East	7	1012
531004	Te Awamutu South	8	1035
531100	Kawhia Community	10	1190
531200	Otorohanga	9	1071
531301	Otorohanga Rural West	6	991
531303	Te Kawa	3	935
531304	Otorohanga Rural East	4	943
531500	Piopio Community	8	1044
531600	Taharoa	10	1120
531710	Mahoenui	7	1021
531720	Marokopa	4	953
531731	Waipa Valley	4	947
531732	Tiroa	8	1029
531800	Mokauiti	6	995
532000	Te Kuiti	9	1087
532200	Omori	5	968
532300	Owhango	8	1048
532400	Ohura	10	1163
532501	Ngapuke	6	998
532502	Kuratau	8	1026
532601	Raurimu	6	978
532602	National Park	7	1020
532700	Otangiwai-Heao	7	1008
532901	Tarrangower	10	1118
532902	Taumarunui Central	10	1158
532903	Sunshine-Hospital Hill	9	1089
532904	Manunui	10	1124
533000	Whitianga	7	1016
533100	Coromandel	9	1061
533200	Te Rerenga	8	1034
533300	Whangamata	8	1037
533400	Tairua	7	1008
533501	Moanataiari	7	1023
533502	Parawai	7	1015
533602	Pauanui Beach	5	969
533603	Hikuai	6	990
533604	Te Puru-Thornton Bay	6	996
533800	Ngatea	7	1019
533901	Hauraki Plains	4	952
533902	Turua	4	949
533903	Kerepehi	9	1073
534100	Waihi Beach	8	1025
534200	Ohinemuri	6	992
534300	Paeroa	9	1078
534400	Waihi	9	1105
534500	Tahuroa	3	937
534602	Waitoa	8	1039
534603	Springdale	3	941
534604	Waihou-Walton	4	955
534800	Te Aroha	8	1024
534901	Morrinsville West	8	1056
534902	Morrinsville East	5	959
535000	Waharoa	10	1252
535100	Tirau	8	1025
535211	Mangakaretu	6	984
535212	Kinleith	5	960
535220	Okauia	3	937
535231	Te Poi	4	944
535232	Tapapa	4	949
535241	Karapiro	2	914
535242	Hinuera	3	931
535250	Arapuni	4	947
535261	Lichfield	3	934
535262	Wawa	2	911
535310	Paraonui	5	977
535320	Parkdale	9	1071
535330	Matarawa	9	1100
535340	Stanley Park	10	1181
535350	Tokoroa Central	10	1188
535360	Aotea	9	1066
535370	Strathmore	10	1117
535380	Amisfield	5	960
535500	Matamata	6	988
535600	Putaruru	8	1044
535700	Athenree	7	1007
535800	Katikati Community	8	1040
535900	Maketu Community	10	1147
536000	Omokoroa Community	4	948
536200	Papamoa Beach East	8	1031
536400	Island View-Pios Beach	6	995
536503	Te Puna	4	959
536505	Matapihi	10	1135
536506	Inlet-Tauranga Harbour Omokoroa		
536508	Inlet-Tauranga Harbour	9	1066
536509	Waikareao Estuary		
536510	Motuopae Island		
536511	Papamoa Beach West	6	981
536512	Kairua	10	1110
536513	Bethlehem East	1	898
536514	Bethlehem	5	960
536611	Matakana Island		
536613	Inlet-Tauranga Harbour North	2	923
536614	Tahawai	5	976
536615	Aongatete	4	949
536620	Minden	2	924
536630	Kaimai	4	943
536641	Ohauiti-Ngapeke	4	956
536642	Upper Papamoa	4	950
536651	Paengaroa	9	1060
536653	Rangiuru	6	995
536654	Pongakawa	6	995
536810	Mt Maunganui North	6	989
536820	Omanu	6	990
536831	Arataki	8	1049
536832	Te Maunga	7	1011
537000	Matua	3	938
537100	Bellevue	7	1005
537201	Otumoetai North	4	958
537202	Otumoetai South	4	942
537301	Brookfield	7	1010
537302	Te Reti	7	1010
537400	Judea	7	1020
537500	Gate Pa	9	1081
537601	Greerton	9	1072
537602	Pyes Pa	3	928
537700	Yatton Park	10	1148
537800	Poike	8	1056
537900	Hairini	6	985
538000	Maungatapu	5	971
538101	Tauranga Hospital	9	1101
538102	Tauranga South	7	1015
538201	Tauranga Central	6	999
538202	Sulphur Point	9	1075
538300	Welcome Bay	6	995
538501	Te Puke West	8	1044
538502	Te Puke East	8	1043
538601	Ngongotaha North	8	1033
538602	Ngongotaha South	8	1036
538721	Poets Corner	5	969
538722	Ngapuna	9	1095
538731	Owhata South	5	972
538732	Lynmore	1	890
538741	Owhata West	9	1080
538742	Owhata East	8	1024
538811	Hamurana	3	932
538812	Inland Water-Lake Rotorua		
538820	Tikitere	7	1007
538831	Kaingaroa Forest	10	1203
538832	Tarawera	2	919
538841	Golden Springs	3	929
538842	Reporoa	6	984
538850	Ngakuru	2	922
538861	Arahiwi	3	939
538863	Waiwhero	4	959
538864	Mamaku	8	1050
539000	Selwyn Heights	10	1133
539100	Western Heights	9	1104
539200	Fairy Springs	9	1075
539310	Pukehangi North	9	1107
539320	Pukehangi South	5	970
539400	Mangakakahi	9	1090
539500	Sunnybrook	5	962
539600	Fordlands	10	1322
539700	Utuhina	7	1020
539800	Pomare	3	932
539900	Hillcrest	8	1041
540000	Springfield	1	908
540100	Kawaha Point	6	986
540200	Koutu	10	1110
540300	Ohinemutu	9	1090
540410	Kuirau	10	1146
540420	Victoria	10	1141
540510	Glenholme East	6	979
540520	Glenholme West	10	1114
540600	Fenton	9	1075
540700	Whaka	9	1098
540900	Mangakino	10	1235
541000	Turangi	10	1139
541311	Acacia Bay	1	897
541312	Wairakei-Aratiatia	10	1148
541313	Maunganamu	6	983
541315	Taupo East	8	1043
541316	Wharewaka	2	914
541317	Rangatira Park	3	935
541318	Rangatira	4	949
541319	Lakewood	2	920
541320	Marotiri	4	951
541331	Oruanui	4	958
541342	Rangitaiki	10	1128
541343	Iwitahi	7	1020
541501	Rangipo	10	1129
541502	Te More		
541503	Taharua	9	1059
541710	Nukuhau	8	1024
541720	Central Taupo	9	1060
541730	Tauhara	9	1066
541740	Hilltop	5	962
541750	Waipahihi	2	920
541760	Richmond Heights	5	967
541900	Ohope	4	950
542000	Matata	9	1105
542100	Taneatua Community	10	1276
542200	Edgecumbe Community	9	1069
542300	Te Teko	10	1199
542410	Whakatane North	8	1056
542421	Coastlands	3	935
542422	Whakatane West	9	1083
542430	Trident	10	1108
542440	Allandale-Mokorua	7	1004
542511	Orini	10	1149
542513	Port Ohope		
542514	Maraetotara	3	936
542520	Poroporo	9	1080
542530	Otakiri	4	956
542540	Rotoma	9	1091
542550	Matahina-Minginui	9	1092
542561	Waimana	10	1190
542562	Urewera	10	1146
542600	Kawerau	10	1136
542700	Murupara	10	1232
542800	Opotiki	10	1193
542901	Te Kaha	10	1274
542903	Cape Runaway	10	1254
542904	Oponae	10	1185
542905	Ohiwa Harbour		
542906	Waiotahi	7	1019
543301	East Cape	10	1178
543302	Ruatoria	10	1221
543303	Tokomaru Bay	10	1178
543601	Tarndale-Rakauroa	7	1006
543602	Te Karaka	10	1134
543800	Patutahi	6	993
543901	Makaraka	3	932
543902	Matokitoki	1	905
543903	Wainui	2	909
544001	Wharekaka	6	986
544002	Tiniroto	5	977
544003	Manutuke	8	1035
544004	Tolaga Bay	10	1199
544200	Mangapapa	9	1061
544300	Te Hapara	9	1082
544400	Gisborne Airport	10	1179
544500	Whataupoko	4	953
544600	Gisborne Central	9	1099
544701	Kaiti North	5	963
544702	Outer Kaiti	10	1235
544801	Kaiti South	10	1192
544802	Tamarau	10	1157
544900	Riverdale	6	986
545201	Tuai	10	1219
545202	Frasertown	9	1072
545204	Ruakituri-Morere	7	1016
545205	Maungataniwha	7	1018
545206	Inland Water-Lake Waikaremoana		
545301	Raupunga	9	1087
545302	Whakaki	9	1060
545303	Nuhaka	10	1136
545304	Mahia	9	1091
545500	Wairoa	9	1107
545611	Bay View	6	990
545621	Poraiti	1	903
545631	Meeanee	3	928
545632	Awatoto	5	960
545710	Twyford	4	953
545721	Karamu	6	983
545722	Whakatu	7	1019
545730	Clive	5	973
545740	Haumoana	4	959
545750	Brookvale	2	912
545761	Irongate	4	956
545762	Longlands South	2	923
545811	Tangoio	4	957
545812	Eskdale	5	961
545821	Sherenden-Puketapu	2	912
545822	Omahu	9	1081
545831	Waiohiki	4	943
545832	Pakowhai	7	1011
545841	Maraekakaho	3	940
545842	Bridge Pa	6	1000
545851	Poukawa	4	947
545852	Pakipaki	5	962
545860	Waimarama	5	966
545911	Tutira	7	1016
545912	Puketitiri	4	944
545913	Whanawhana	3	935
546100	Westshore	6	985
546200	Ahuriri	8	1057
546300	Onekawa Central	7	1016
546400	Onekawa West	8	1055
546500	Onekawa South	10	1109
546600	Marewa	9	1099
546700	Maraenui	10	1226
546801	Hospital Hill	5	961
546802	Bluff Hill	5	972
546901	Nelson Park	9	1058
546902	Mclean Park	8	1048
547001	Tamatea North	8	1032
547002	Tamatea South	7	1005
547100	Greenmeadows	4	947
547200	Taradale North	3	937
547300	Taradale South	5	969
547400	Pirimai	7	1009
547600	Mahora	8	1037
547700	St Leonards	8	1040
547800	Frimley	5	963
547900	Raureka	9	1064
548000	Mayfair	9	1061
548100	Parkvale	7	1003
548200	Hastings Central	9	1074
548300	Akina	9	1074
548400	Woolwich	4	953
548500	Camberley	10	1233
548611	Kingsley-Chatham	10	1203
548612	Lochain	10	1155
548620	Flaxmere East	10	1145
548810	Anderson Park	9	1062
548820	Iona	2	915
548830	Te Mata	1	909
549000	Takapau	7	1021
549100	Waipawa	7	1017
549200	Tikokino	4	944
549400	Otane	9	1105
549500	Waipukurau	7	1009
549601	Porangahau	9	1078
549602	Elsthorpe-Flemington	3	929
549800	Norsewood-Herbertville	4	944
549901	Owahanga	6	979
549902	Mara	5	975
550101	Dannevirke West	7	1002
550102	Dannevirke East	8	1055
550200	Papatawa	3	934
550500	Woodville	9	1068
550600	Urenui	5	964
550700	Okoki-Okau	5	971
550800	Oakura	3	935
550901	Bell Block	7	1005
550902	Paraite	5	968
551012	Glen Avon	6	986
551013	Bowden	5	976
551014	Mangaoraka	5	960
551021	Carrington	1	899
551022	Highlands Park	1	908
551023	Fernleigh	1	892
551024	Barrett	2	911
551030	Omata	3	937
551111	Lepperton	2	926
551112	Kaitake	2	925
551120	Okato	8	1047
551301	Waitara West	10	1140
551302	Waitara East	9	1094
551400	Moturoa	9	1063
551501	Lynmouth	7	1017
551502	Spotswood	7	1016
551503	Marfell	10	1142
551600	Upper Westown	3	933
551700	Westown	8	1027
551800	New Plymouth Central	9	1064
551900	Kawaroa	7	1018
552001	Mount Bryan	6	997
552002	Marsland Hill	7	1020
552100	Fitzroy	6	985
552200	Welbourn	6	985
552300	Merrilands	6	984
552400	Frankleigh	7	1016
552500	Struan Park	6	994
552701	Egmont Village	2	922
552702	Kaimata	2	923
552800	Inglewood	7	1003
552900	Midhirst	8	1037
553001	Whangamomona	7	1006
553002	Douglas	3	938
553003	Toko	2	918
553004	Pembroke	3	931
553101	Stratford West	8	1029
553102	Stratford East	7	1010
553200	Opunake	9	1105
553301	Rahotu	7	1006
553302	Kahui	5	970
553400	Kaponga	8	1041
553500	Mangatoki-Moeroa	3	929
553601	Eltham	8	1035
553700	Kapuni	2	918
553800	Manaia	8	1037
553900	Normanby	7	1003
554010	Hawera North	6	997
554020	Hawera South	7	1007
554111	Ohawe Beach	6	990
554113	Tawhiti	3	939
554114	Waingongoro	3	937
554115	Hawera West	1	888
554120	Ohangai	4	955
554130	Okaiawa	6	981
554300	Waitotara	7	1021
554400	Whenuakura	4	953
554500	Makakaho	5	968
554700	Patea	10	1206
554800	Waverley	10	1121
554900	Tangiwai	5	971
555000	Ohakune	8	1036
555100	Raetihi	10	1115
555200	Otamatea	1	901
555300	Blueskin	2	923
555400	Maxwell	3	938
555700	Castlecliff North	10	1138
555800	Castlecliff South	10	1123
555900	Mosston	10	1178
556000	Balgownie	10	1283
556100	Tawhero	7	1001
556200	Gonville South	8	1047
556300	Gonville East	8	1046
556400	Gonville West	10	1225
556500	Springvale West	5	968
556600	Springvale East	4	947
556700	Wanganui Collegiate	7	1009
556800	Laird Park	10	1146
556900	Wanganui Central	10	1138
557000	Spriggens Park	9	1091
557100	Cooks Gardens	9	1096
557200	St Johns Hill	1	909
557300	Lower Aramoho	10	1117
557400	Upper Aramoho	8	1045
557500	Williams Domain	8	1041
557600	Wembley Park	10	1143
557700	Kowhai Park	8	1031
557800	Bastia Hill	2	915
557900	Durie Hill	5	970
558100	Putiki	5	975
558200	Marybank-Gordon Park	2	919
558300	Fordell-Kakatahi	6	986
558500	Waiouru	5	967
558600	Mangaweka	7	1019
558700	Hunterville	8	1053
558800	Ratana Community	10	1166
558900	Bulls	7	1001
559000	Ngamatea	3	936
559210	Moawhango	3	932
559220	Pohonui-Porewa	3	935
559230	Lake Alice	5	964
559240	Koitiata	9	1060
559400	Taihape	8	1028
559500	Marton	8	1055
559700	Kiwitea	4	951
560000	Pohangina	2	913
560200	Ashhurst	5	971
560301	Stoney Creek	5	964
560302	Whakarongo	2	912
560411	Oroua Bridge	5	977
560412	Maewa	1	899
560421	Halcombe	5	977
