"CAUnum96"	"CAUname96"	"NZDepCAU96 wt ave score"	"NZDepCAU96 wt ave scale"	"CAU urpop96"
517901	"Springleigh"	1010	7	2298.00
517902	"Owairaka West"	1096	9	2522.00
517903	"Owairaka East"	979	5	3849.00
518101	"Mt Eden North"	1010	7	2733.00
518102	"Sherbourne"	977	5	2854.00
518201	"Balmoral"	949	4	5027.00
518202	"Mt Eden East"	946	4	2687.00
518301	"Maungawhau"	935	3	3478.00
518302	"Mt Eden South"	943	3	4056.00
518500	"Three Kings"	1080	9	4569.00
518600	"Royal Oak"	923	2	4745.00
518701	"Hillsborough West"	965	5	5493.00
518702	"Hillsborough East"	938	3	3807.00
518801	"Walmsley"	1183	10	3396.00
518802	"Wesley"	1135	10	2280.00
518803	"Akarana"	1104	10	4424.00
518901	"Lynfield North"	960	4	4651.00
518902	"Lynfield South"	925	2	3915.00
519001	"Waikowhai West"	924	2	3023.00
519002	"Waikowhai East"	1042	8	3749.00
519200	"Mt St John"	947	4	3678.00
519300	"One Tree Hill Central"	920	2	2260.00
519400	"One Tree Hill East"	961	5	4889.00
519500	"Penrose"	1041	8	620.00
519710	"Onehunga North West"	1025	8	3147.00
519720	"Onehunga North East"	961	4	3290.00
519810	"Onehunga South West"	962	5	3358.00
519820	"Onehunga South East"	1084	9	2632.00
519900	"Oranga"	1131	10	3604.00
520000	"Te Papapa"	1078	9	2693.00
520201	"Ellerslie North"	943	3	5416.00
520202	"Ellerslie South"	954	4	1476.00
520300	"Mt Wellington North"	1046	8	5547.00
520401	"Ferndale"	1041	8	3509.00
520402	"Hamlin"	1022	7	4262.00
520500	"Mt Wellington South"	1077	9	5101.00
520601	"Tamaki"	1192	10	4229.00
520602	"Panmure Basin"	989	6	2036.00
520801	"Waiheke Island"	1069	9	6286.00
520802	"Bays-Waiheke Island"	0	0	8.00
520900	"Islands-Motutapu"	0	0	5020.00
521000	"Great Barrier Island"	0	0	1130.00
521111	"Paerata-Cape Hill"	951	4	715.00
521112	"Eden Road-Hill Top"	969	5	551.00
521113	"Buckland"	934	3	1120.00
521114	"Redoubt"	958	4	172.00
521115	"Opuawhanga"	994	6	197.00
521121	"Patumahoe"	926	2	2125.00
521122	"Kingseat"	913	2	4974.00
521131	"Pokeno"	954	4	1320.00
521132	"Hunua"	920	2	3591.00
521133	"Mangatawhiri"	980	6	1890.00
521151	"Awhitu"	958	4	2174.00
521152	"Glenbrook"	935	3	1812.00
521153	"Otaua"	949	4	1827.00
521160	"Bombay"	943	3	828.00
521201	"Hingaia"	883	1	589.00
521202	"Whangapouri Creek"	897	1	470.00
521203	"Bremner"	884	1	292.00
521301	"Drury"	915	2	2954.00
521302	"Runciman"	930	2	426.00
521501	"Mellons Bay"	889	1	2832.00
521502	"Cockle Bay"	891	1	4201.00
521601	"Howick West"	930	2	2412.00
521602	"Howick Central"	940	3	4735.00
521800	"Otahuhu East"	1161	10	7676.00
521901	"Otahuhu West"	1155	10	4308.00
521902	"Middlemore"	1046	8	84.00
522100	"Papatoetoe West"	1042	8	4017.00
522201	"Papatoetoe North"	1011	7	4011.00
522202	"Papatoetoe Central"	1002	6	3704.00
522301	"Dingwall"	969	5	2507.00
522302	"Papatoetoe East"	1033	8	4267.00
522400	"Puhinui"	1001	6	3213.00
522601	"Bucklands & Eastern Beaches"	914	2	4470.00
522602	"Bucklands Beach South"	918	2	2356.00
522603	"Bleakhouse"	877	1	1834.00
522711	"Pigeon Mountain North"	951	4	2858.00
522712	"Murvale"	933	3	3570.00
522721	"Pigeon Mountain South"	955	4	1175.00
522722	"Aberfeldy"	948	4	3865.00
522723	"Elsmore Park"	936	3	2547.00
522730	"Halfmoon Bay"	907	1	3466.00
522810	"Pakuranga North"	909	1	4097.00
522820	"Sunnyhills"	906	1	2901.00
522910	"Pakuranga Central"	943	3	3088.00
522920	"Edgewater"	980	6	3468.00
523000	"Pakuranga East"	946	4	4550.00
523101	"Botany Downs"	900	1	4493.00
523102	"Maungamaungaroa"	913	2	3802.00
523103	"Cascades"	900	1	5085.00
523104	"East Tamaki"	898	1	2324.00
523201	"Shelly Park"	890	1	1966.00
523202	"Turanga"	878	1	1608.00
523300	"Beachlands-Maraetai"	933	3	4077.00
523401	"Grange"	1175	10	1912.00
523402	"Otara West"	1243	10	3051.00
523501	"Otara North"	1210	10	1622.00
523502	"Otara East"	1228	10	4413.00
523601	"Otara South"	1218	10	3341.00
523602	"Ferguson"	1252	10	4168.00
523710	"Flat Bush"	1157	10	5031.00
523721	"Clover Park"	1126	10	4653.00
523722	"Redoubt North"	1030	8	3965.00
523811	"Wairere"	894	1	1991.00
523812	"Randwick Park"	1089	9	3395.00
523813	"Ardmore"	924	2	816.00
523820	"Redoubt South"	922	2	4028.00
523910	"Takanini East"	1067	9	3899.00
523920	"Takanini West"	982	6	4707.00
524001	"Ambury"	967	5	3114.00
524002	"Mangere Bridge"	1029	8	4868.00
524111	"Mangere Central"	1156	10	2920.00
524112	"Mascot"	1142	10	3711.00
524121	"Arahanga"	1196	10	1795.00
524122	"Viscount"	1196	10	4054.00
524200	"Mangere South"	1071	9	2825.00
524301	"Mangere East"	1033	8	4714.00
524302	"Aorere"	1120	10	4912.00
524303	"Kohuora"	1031	8	4733.00
524401	"Favona"	1144	10	4680.00
524402	"Mangere Station"	1262	10	321.00
524510	"Harania North"	1180	10	3815.00
524520	"Harania West"	1145	10	4056.00
524530	"Harania East"	1159	10	4614.00
524601	"Manukau Central"	1055	9	2692.00
524602	"Wiri"	1229	10	3518.00
524711	"Burbank"	1087	9	2902.00
524712	"Homai West"	1128	10	1945.00
524713	"Rowandale"	1108	10	2861.00
524720	"Homai East"	1067	9	5186.00
524810	"Weymouth"	1020	7	5455.00
524820	"Clendon"	1132	10	5139.00
524901	"Hillpark"	929	2	4436.00
524902	"Manurewa East"	1061	9	2179.00
525001	"Manurewa Central"	1043	8	3399.00
525002	"Beaumont"	1068	9	1909.00
525101	"Leabank"	1044	8	4522.00
525102	"Wattle Farm"	989	6	4608.00
525200	"Clevedon"	927	2	3242.00
525410	"Papakura Central"	1080	9	1954.00
525420	"Papakura North"	1028	8	2269.00
525510	"Papakura South"	1200	10	1557.00
525520	"Opaheke"	948	4	2616.00
525530	"Rosehill"	1075	9	3075.00
525540	"Pahurehure"	917	2	2937.00
525610	"Papakura East"	1134	10	4494.00
525620	"Massey Park"	1014	7	1505.00
525630	"North East Papakura"	1004	7	3334.00
525700	"Red Hill"	1054	8	2629.00
525910	"Pukekohe North"	1103	9	5152.00
525921	"Pukekohe West"	975	5	4388.00
525922	"Bledisloe Park"	967	5	1907.00
526101	"Waiuku"	1008	7	5051.00
526102	"South Waiuku"	937	3	1010.00
526200	"Tuakau"	1070	9	2713.00
526400	"Rotowaro"	1122	10	1.00
526500	"Raglan"	1111	10	2633.00
526601	"Glen Massey"	1001	6	3111.00
526602	"Te Uku"	973	5	1410.00
526603	"Te Pahu"	913	2	975.00
526701	"Onewhero"	1017	7	3413.00
526702	"Te Akau"	992	6	875.00
526900	"Te Kauwhata"	1010	7	1026.00
527002	"Rototuna"	902	1	518.00
527003	"Sylvester"	888	1	1844.00
527004	"Matangi"	916	2	1434.00
527111	"Whitikahu"	943	3	1947.00
527112	"Taupiri Community"	1068	9	453.00
527121	"Eureka"	906	1	1683.00
527122	"Gordonton"	971	5	686.00
527123	"Kainui"	972	5	1930.00
527131	"Tamahere-Tauwhare"	922	2	3233.00
527132	"Hautapu"	917	2	1461.00
527210	"Waerenga"	954	4	1779.00
527221	"Maramarua"	986	6	827.00
527222	"Meremere"	1207	10	470.00
527401	"Huntly West"	1311	10	3090.00
527402	"Huntly East"	1062	9	3977.00
527501	"Cambridge North"	955	4	2373.00
527502	"Cambridge West"	978	5	2502.00
527503	"Cambridge Central"	990	6	608.00
527504	"Leamington West"	977	5	2513.00
527505	"Leamington East"	975	5	3185.00
527600	"Ohaupo"	947	4	471.00
527700	"Kihikihi"	1051	8	1785.00
527810	"Peacocke"	907	1	367.00
527820	"Temple View"	998	6	1434.00
527911	"Horotiu"	978	5	849.00
527912	"Te Kowhai"	923	2	1041.00
527913	"Whatawhata"	940	3	1433.00
527914	"Ngahinapouri"	898	1	1407.00
527915	"Lake Cameron"	908	1	845.00
527921	"Te Rore"	941	3	371.00
527922	"Pirongia"	937	3	1047.00
527923	"Pokuru"	940	3	418.00
527924	"Lake Ngaroto"	926	2	516.00
527925	"Tokanui"	1070	9	566.00
527931	"Pukerimu"	899	1	362.00
527932	"Kaipaki"	916	2	753.00
527934	"Rotoorangi"	922	2	1684.00
527935	"Te Rahu"	915	2	669.00
527936	"Kihikihi Flat"	919	2	470.00
527937	"Allen Road"	927	2	283.00
528000	"Rotongata"	974	5	843.00
528200	"Ngaruawahia"	1144	10	5251.00
528310	"Bryant"	989	6	5426.00
528320	"Pukete"	904	1	2408.00
528402	"Pukete West"	929	2	1982.00
528403	"Te Rapa"	1070	9	357.00
528404	"Burbush"	942	3	424.00
528501	"Nawton"	973	5	4312.00
528502	"Brymer"	1073	9	5094.00
528601	"Dinsdale North"	924	2	3419.00
528602	"Dinsdale South"	986	6	3946.00
528700	"Beerescourt"	939	3	3002.00
528800	"Maeroa"	1029	8	3334.00
528900	"Frankton Junction"	1046	8	1854.00
529000	"Swarbrick"	1091	9	3932.00
529100	"Hamilton Lake"	972	5	3579.00
529200	"Melville"	1014	7	4328.00
529300	"Glenview"	944	3	5022.00
529401	"Queenwood"	924	2	3299.00
529402	"Chedworth"	963	5	3356.00
529501	"Porritt"	1084	9	1575.00
529502	"Insoll"	1207	10	2602.00
529503	"Fairview Downs"	976	5	2548.00
529600	"Chartwell"	904	1	2455.00
529700	"Hamilton Central"	1101	9	2257.00
529800	"Clarkin"	1070	9	2786.00
529900	"Claudelands"	1027	8	2536.00
530000	"Enderley"	1097	9	3878.00
530100	"Peachgrove"	1023	7	2541.00
530200	"Hamilton East"	1066	9	3529.00
530300	"Naylor"	1016	7	4236.00
530400	"Bader"	1069	9	3700.00
530500	"University"	1026	8	3996.00
530600	"Dalesford"	990	6	2352.00
530700	"Hillcrest West"	960	4	3171.00
530800	"Riverlea"	905	1	2463.00
531001	"Te Awamutu West"	1000	6	1171.00
531002	"Te Awamutu Central"	1006	7	3013.00
531003	"Te Awamutu East"	1015	7	2418.00
531004	"Te Awamutu South"	1023	7	2819.00
531100	"Kawhia Community"	1148	10	646.00
531200	"Otorohanga"	1059	9	2654.00
531301	"Ngutunui"	1004	7	1621.00
531303	"Te Kawa"	952	4	466.00
531304	"Maihiihi"	961	4	4275.00
531500	"Piopio Community"	1049	8	487.00
531600	"Taharoa"	1062	9	227.00
531710	"Mahoenui"	1039	8	487.00
531720	"Marokopa"	965	5	1652.00
531731	"Waipa Valley"	963	5	948.00
531732	"Tiroa"	1084	9	81.00
531800	"Mokauiti"	1023	7	1238.00
532000	"Te Kuiti"	1094	9	4611.00
532200	"Omori"	966	5	175.00
532300	"Owhango"	1033	8	216.00
532400	"Ohura"	1185	10	374.00
532501	"Ngapuke"	1006	7	1835.00
532502	"Kuratau"	1071	9	363.00
532601	"Raurimu"	984	6	670.00
532602	"National Park"	1056	9	237.00
532700	"Otangiwai-Heao"	1015	7	1130.00
532901	"Tarrangower"	1098	9	1561.00
532902	"Taumarunui Central"	1137	10	3004.00
532903	"Sunshine-Hospital Hill"	1102	9	625.00
532904	"Manunui"	1101	9	643.00
533000	"Whitianga"	1039	8	2992.00
533100	"Coromandel"	1059	9	1471.00
533200	"Te Rerenga"	1041	8	3526.00
533300	"Whangamata"	1049	8	3704.00
533400	"Tairua"	1027	8	1440.00
533501	"Moanataiari"	1004	7	2531.00
533502	"Parawai"	1011	7	4280.00
533602	"Pauanui Beach"	931	3	647.00
533603	"Hikuai"	1009	7	3190.00
533604	"Te Puru-Thornton Bay"	1010	7	1014.00
533800	"Ngatea"	1004	7	1001.00
533901	"Hauraki Plains"	963	5	2549.00
533902	"Turua"	949	4	1309.00
533903	"Kerepehi"	1066	9	503.00
534100	"Waihi Beach"	1024	7	1914.00
534200	"Golden Cross"	999	6	3153.00
534300	"Paeroa"	1076	9	4062.00
534400	"Waihi"	1108	10	4743.00
534500	"Tahuroa"	943	3	2554.00
534601	"Ngarua"	949	4	6891.00
534602	"Waitoa"	1025	8	439.00
534800	"Te Aroha"	1004	7	3854.00
534900	"Morrinsville"	988	6	5880.00
535000	"Waharoa"	1190	10	556.00
535100	"Tirau"	1000	6	752.00
535211	"Mangakaretu"	984	6	199.00
535212	"Kinleith"	908	1	229.00
535220	"Okauia"	945	4	1845.00
535231	"Te Poi"	965	5	889.00
535232	"Tapapa"	959	4	1045.00
535241	"Karapiro"	918	2	1891.00
535242	"Hinuera"	935	3	916.00
535250	"Arapuni"	964	5	2281.00
535261	"Lichfield"	936	3	935.00
535262	"Wawa"	961	4	493.00
535310	"Paraonui"	1007	7	2027.00
535320	"Parkdale"	1094	9	836.00
535330	"Matarawa"	1121	10	2330.00
535340	"Stanley Park"	1180	10	2529.00
535350	"Tokoroa Central"	1168	10	1039.00
535360	"Aotea"	1058	9	3522.00
535370	"Strathmore"	1108	10	2634.00
535380	"Amisfield"	979	5	182.00
535500	"Matamata"	990	6	5839.00
535600	"Putaruru"	1066	9	3977.00
535700	"Athenree"	1030	8	504.00
535800	"Katikati Community"	1033	8	2661.00
535900	"Maketu Community"	1113	10	987.00
536000	"Omokoroa Community"	946	4	1587.00
536200	"Papamoa Beach East"	1028	8	4479.00
536400	"Island View-Pios Beach"	1047	8	567.00
536503	"Te Puna"	960	4	2374.00
536505	"Matapihi"	1138	10	587.00
536506	"Inlet-Tauranga Harbour Omokoro"	0	0	0.00
536508	"Inlet-Tauranga Harbour"	942	3	145.00
536509	"Waikareao Estuary"	0	0	0.00
536510	"Motuopae Island"	0	0	0.00
536511	"Papamoa Beach West"	1029	8	3010.00
536512	"Kairua"	1151	10	358.00
536513	"Bethlehem East"	912	2	474.00
536514	"Bethlehem"	972	5	1427.00
536611	"Matakana Island"	0	0	230.00
536613	"Inlet-Tauranga Harbour North"	947	4	2.00
536614	"Tahawai"	982	6	1424.00
536615	"Aongatete"	962	5	1977.00
536620	"Minden"	929	2	3127.00
536630	"Kaimai"	947	4	3793.00
536641	"Ohauiti-Ngapeke"	965	5	551.00
536642	"Upper Papamoa"	951	4	1617.00
536651	"Paengaroa"	1046	8	731.00
536653	"Rangiuru"	1013	7	1879.00
536654	"Pongakawa"	999	6	2551.00
536810	"Mt Maunganui North"	1014	7	3315.00
536820	"Omanu"	974	5	4538.00
536831	"Arataki"	1023	7	4993.00
536832	"Te Maunga"	1015	7	3396.00
537000	"Matua"	922	2	4896.00
537100	"Bellevue"	983	6	3036.00
537201	"Otumoetai North"	959	4	3685.00
537202	"Otumoetai South"	934	3	3307.00
537301	"Brookfield"	996	6	3989.00
537302	"Te Reti"	993	6	1509.00
537400	"Judea"	1020	7	2210.00
537500	"Gate Pa"	1040	8	2753.00
537600	"Greerton"	1016	7	4241.00
537700	"Yatton Park"	1112	10	2092.00
537800	"Poike"	1051	8	776.00
537900	"Hairini"	1000	6	2813.00
538000	"Maungatapu"	955	4	2562.00
538101	"Tauranga Hospital"	1060	9	1676.00
538102	"Tauranga South"	1015	7	4370.00
538201	"Tauranga Central"	993	6	2023.00
538202	"Sulphur Point"	994	6	18.00
538300	"Welcome Bay"	1004	7	5097.00
538501	"Te Puke West"	1047	8	2771.00
538502	"Te Puke East"	1046	8	3724.00
538601	"Ngongotaha North"	1059	9	2907.00
538602	"Ngongotaha South"	1027	8	1094.00
538721	"Poets Corner"	937	3	276.00
538722	"Ngapuna"	1142	10	627.00
538731	"Owhata South"	971	5	485.00
538732	"Lynmore"	891	1	2766.00
538741	"Owhata West"	1063	9	3136.00
538742	"Owhata East"	1010	7	2115.00
538810	"Hamurana"	920	2	1898.00
538820	"Tikitere"	1022	7	2744.00
538831	"Kaingaroa Forest"	1231	10	580.00
538832	"Tarawera"	912	2	1640.00
538841	"Golden Springs"	938	3	1268.00
538842	"Reporoa"	961	4	589.00
538850	"Ngakuru"	920	2	1495.00
538861	"Arahiwi"	961	5	127.00
538863	"Waiwhero"	935	3	608.00
538864	"Mamaku"	1061	9	607.00
539000	"Selwyn Heights"	1072	9	1197.00
539100	"Western Heights"	1116	10	3823.00
539200	"Fairy Springs"	1079	9	2074.00
539310	"Pukehangi North"	1094	9	2270.00
539320	"Pukehangi South"	975	5	1956.00
