"CAUnum96"	"CAUname96"	"NZDepCAU96 wt ave score"	"NZDepCAU96 wt ave scale"	"CAU urpop96"
500100	"Awanui"	1121	10	352.00
500202	"Mangonui East"	1091	9	3838.00
500203	"Taipa Bay-Mangonui"	1040	8	1494.00
500204	"Mangonui West"	1074	9	1943.00
500205	"Ahipara"	1131	10	923.00
500206	"North Cape"	1224	10	694.00
500207	"Houhora"	1080	9	959.00
500208	"Motutangi-Kareponia"	1064	9	1690.00
500301	"Kaitaia West"	1134	10	3222.00
500302	"Kaitaia East"	1124	10	2058.00
500401	"Kaeo"	1095	9	525.00
500402	"Mangapa-Matauri Bay"	1095	9	2572.00
500500	"Kohukohu"	1192	10	224.00
500600	"Rawene"	1114	10	519.00
500700	"Omapere & Opononi"	1231	10	510.00
500801	"Hokianga North"	1193	10	2408.00
500802	"Hokianga South"	1202	10	2767.00
500900	"Kerikeri"	972	5	4161.00
501000	"Russell"	1006	7	788.00
501100	"Paihia"	1013	7	1825.00
501200	"Haruru Falls"	1016	7	553.00
501300	"East Opua"	967	5	334.00
501400	"Kawakawa"	1150	10	1459.00
501500	"Moerewa"	1241	10	1697.00
501611	"Waitangi-Te Tii"	995	6	2421.00
501612	"West Opua"	940	3	215.00
501613	"Bay of Islands"	1353	10	7.00
501620	"Pokere-Waihaha"	1092	9	2659.00
501631	"Okaihau"	1047	8	642.00
501632	"Ohaeawai"	1054	9	677.00
501633	"Waihou Valley-Hupara"	972	5	2067.00
501634	"Ngapuhi-Kaikou"	1151	10	2471.00
501700	"Kaikohe"	1196	10	4107.00
501802	"Opouteke-Tanekaha"	982	6	3479.00
501805	"Bream Head"	961	5	3589.00
501806	"Marsden Point-Ruakaka"	1053	8	2763.00
501807	"Ngunguru"	980	6	1265.00
501809	"Wharekohe-Oakleigh"	938	3	2581.00
501810	"Maungatapere"	938	3	830.00
501811	"Waiotira-Springfield"	960	4	1496.00
501812	"Waipu"	979	5	1739.00
501813	"Whangaruru Harbour"	0	0	0.00
501814	"Punaruku-Kiripaka"	1030	8	3082.00
502001	"Springs Flat"	968	5	1049.00
502002	"Three Mile Bush"	960	4	393.00
502003	"Te Hihi"	906	1	567.00
502004	"Abbey Caves"	910	1	359.00
502005	"Otaika-Portland"	979	5	818.00
502101	"Kamo West"	950	4	2795.00
502102	"Kamo East"	1051	8	2814.00
502201	"Tikipunga West"	1093	9	2655.00
502202	"Tikipunga East"	1026	8	2851.00
502300	"Whau Valley"	985	6	2395.00
502400	"Otangarei"	1363	10	2262.00
502500	"Western Hills"	888	1	213.00
502600	"Kensington"	1032	8	1299.00
502700	"Mairtown"	1014	7	2319.00
502800	"Regent"	1030	8	1858.00
502900	"Woodhill"	1025	8	1658.00
503000	"Vinetown"	1102	9	1432.00
503100	"Whangarei Central"	1072	9	198.00
503200	"Riverside"	1025	8	795.00
503300	"Horahora"	983	6	950.00
503400	"Maunu"	905	1	1236.00
503500	"Raumanga East"	1159	10	1756.00
503600	"Morningside"	1057	9	2057.00
503700	"Parahaki"	941	3	1166.00
503800	"Raumanga West"	1128	10	2954.00
503900	"Port-Limeburners"	1127	10	33.00
504000	"Sherwood Rise"	1007	7	3506.00
504100	"Onerahi"	1047	8	2111.00
504300	"Hikurangi"	1103	9	1381.00
504400	"Te Kopuru"	1088	9	493.00
504501	"Kaipara Coastal"	1021	7	3193.00
504502	"Maungaru"	954	4	1673.00
504600	"Dargaville"	1064	9	4477.00
504700	"Maungaturoto"	1000	6	846.00
504800	"Ruawai"	1040	8	471.00
504900	"Kaiwaka"	1042	8	437.00
505010	"Rehia-Oneriri"	1018	7	4643.00
505020	"Mangawhai"	1042	8	1136.00
505300	"Wellsford"	1056	9	1649.00
505400	"Leigh"	1022	7	424.00
505500	"Warkworth"	972	5	2477.00
505600	"Kumeu"	926	2	5001.00
505700	"Waipareira West"	936	3	747.00
505802	"Red Beach"	949	4	5187.00
505803	"Waiwera"	1003	6	264.00
505804	"Hatfields Beach"	981	6	1116.00
505805	"Orewa"	1007	7	4670.00
505901	"Stanmore Bay"	960	4	7351.00
505902	"Manly"	955	4	5232.00
505903	"Army Bay"	919	2	1995.00
506000	"Silverdale South"	941	3	1349.00
506200	"Silverdale North"	912	2	981.00
506300	"Dairy Flat-Redvale"	899	1	1554.00
506400	"Paremoremo West"	911	1	444.00
506613	"Tauhoa-Puhoi"	981	6	2927.00
506614	"Tahekeroa"	915	2	2501.00
506615	"Cape Rodney"	962	5	4977.00
506616	"Matheson Bay"	1010	7	123.00
506620	"Kawau"	0	0	106.00
506631	"Snells Beach"	977	5	2698.00
506632	"Algies Bay-Mahurangi"	952	4	648.00
506641	"Parakai"	1027	8	1103.00
506642	"South Head"	983	6	960.00
506643	"Kaukapakapa"	940	3	1863.00
506651	"Muriwai Beach"	937	3	1785.00
506652	"Rewiti"	935	3	1542.00
506653	"Riverhead"	893	1	1959.00
506800	"Helensville"	1039	8	2080.00
506901	"Awaruku"	911	1	2869.00
506902	"Glamorgan"	928	2	3030.00
506903	"Torbay"	925	2	4187.00
507000	"Waiake"	916	2	4001.00
507101	"Browns Bay"	933	3	3416.00
507102	"Oaktree"	913	2	3858.00
507200	"Rothesay Bay"	903	1	4246.00
507300	"Murrays Bay"	900	1	4227.00
507400	"Mairangi Bay"	897	1	4927.00
507500	"Campbells Bay"	883	1	2115.00
507710	"Castor Bay"	893	1	2774.00
507720	"Crown Hill"	915	2	3065.00
507800	"Lake Pupuke"	922	2	4781.00
507900	"Westlake"	963	5	3991.00
508010	"Takapuna Central"	945	3	2383.00
508020	"Hauraki"	927	2	5295.00
508110	"Seacliffe"	963	5	3172.00
508120	"Bayswater"	972	5	2445.00
508210	"Kaipatiki"	958	4	3667.00
508220	"Windy Ridge"	956	4	3056.00
508310	"Glenfield Central"	953	4	4046.00
508320	"Glenfield North"	953	4	3470.00
508411	"Glendhu"	952	4	4732.00
508412	"Witheford"	955	4	2425.00
508420	"Target Road"	967	5	5587.00
508510	"Forrest Hill"	930	3	4809.00
508520	"Sunnynook"	941	3	5436.00
508610	"Monarch Park"	919	2	4530.00
508620	"Sunnybrae"	940	3	2559.00
508700	"Albany North"	930	3	1678.00
508800	"Albany South"	930	3	6402.00
508900	"Long Bay"	900	1	705.00
509000	"Paremoremo East"	927	2	1968.00
509100	"Greenhithe"	888	1	3363.00
509300	"Narrow Neck"	943	3	3784.00
509400	"Mt Victoria"	933	3	5422.00
509500	"Stanley Bay"	924	2	2351.00
509701	"Ocean View"	952	4	3931.00
509702	"Tuff Crater"	1035	8	3879.00
509800	"Northcote South"	919	2	3923.00
510010	"Beachhaven North"	1006	7	4871.00
510020	"Beachhaven South"	970	5	4290.00
510210	"Birkdale North"	1019	7	2779.00
510220	"Birkdale South"	954	4	3442.00
510401	"Kauri Park"	920	2	3064.00
510402	"Chelsea"	905	1	3698.00
510500	"Birkenhead East"	912	2	3515.00
510700	"Henderson North"	996	6	4151.00
510800	"Henderson South"	1035	8	4143.00
511001	"Tangutu"	992	6	2735.00
511002	"Woodglen"	994	6	3514.00
511100	"Glen Eden East"	1003	6	5734.00
511300	"New Lynn North"	1055	9	5294.00
511401	"Fruitvale"	1036	8	3596.00
511402	"Rewarewa"	1016	7	3576.00
511601	"Glendene North"	981	6	3814.00
511602	"Glendene South"	974	5	2324.00
511700	"Kelston Central"	1035	8	3724.00
511800	"Sunnyvale"	986	6	3151.00
511901	"Kaurilands"	941	3	2764.00
511902	"Crum Park"	932	3	3597.00
512000	"Titirangi South"	900	1	3202.00
512100	"Green Bay"	953	4	3424.00
512201	"Matipo"	1013	7	2661.00
512202	"Durham Green"	1014	7	3747.00
512300	"Te Atatu Central"	986	6	3194.00
512401	"Edmonton"	991	6	2809.00
512402	"Wakeling"	955	4	3448.00
512500	"Mcleod"	976	5	4638.00
512600	"Konini"	921	2	3442.00
512700	"Waima"	899	1	2266.00
512801	"Laingholm"	920	2	2370.00
512802	"Armour Bay"	941	3	428.00
512901	"Parrs Park"	1004	7	4518.00
512902	"Otimai"	902	1	2318.00
513010	"Sturges South"	994	6	5291.00
513020	"Opanuku"	904	1	2020.00
513100	"Swanson"	952	4	2688.00
513210	"Ranui North"	1061	9	7170.00
513220	"Sturges North"	942	3	607.00
513301	"Kingdale"	1037	8	3216.00
513302	"Fairdene"	1029	8	3581.00
513410	"Whenuapai West"	918	2	1954.00
513420	"Herald"	913	2	1682.00
513430	"Hobsonville"	896	1	3261.00
513510	"Royal Road West"	991	6	2493.00
513521	"West Harbour"	1019	7	4384.00
513522	"Lucken Point"	900	1	3661.00
513530	"Royal Heights"	991	6	5629.00
513610	"West Massey"	943	3	335.00
513620	"Birdwood"	962	5	1212.00
513631	"Waimumu North"	1008	7	4018.00
513632	"Waimumu South"	993	6	3762.00
513701	"Taupaki"	918	2	772.00
513702	"Waitakere"	915	2	1703.00
513800	"Karekare"	956	4	2316.00
514000	"Freemans Bay"	1009	7	3677.00
514100	"Auckland Central"	1033	8	3805.00
514200	"Newton"	996	6	453.00
514300	"Grafton"	1019	7	1662.00
514401	"Roberton"	1025	8	4091.00
514402	"Glenavon"	1054	8	4465.00
514500	"New Windsor"	964	5	5549.00
514600	"Avondale South"	990	6	3919.00
514700	"Blockhouse Bay"	934	3	4976.00
514801	"Rosebank"	1051	8	3929.00
514802	"Avondale West"	1104	9	3282.00
514900	"Waterview"	1084	9	2898.00
515001	"Point Chevalier West"	977	5	3192.00
515002	"Point Chevalier East"	992	6	3963.00
515003	"Point Chevalier South"	1046	8	1489.00
515100	"Westmere"	944	3	4209.00
515201	"Herne Bay"	909	1	2857.00
515202	"St Marys"	940	3	2283.00
515301	"Ponsonby West"	964	5	2445.00
515302	"Ponsonby East"	950	4	3099.00
515410	"Grey Lynn West"	982	6	3175.00
515420	"Grey Lynn East"	971	5	3133.00
515431	"Surrey Crescent"	1053	8	2827.00
515432	"St Lukes North"	958	4	649.00
515500	"Arch Hill"	983	6	1131.00
515600	"Eden Terrace"	1000	6	974.00
515700	"Epsom North"	932	3	3294.00
515801	"Epsom Central"	941	3	3072.00
515802	"Epsom South"	913	2	3207.00
515901	"Parnell East"	898	1	2127.00
515902	"Parnell West"	929	2	3617.00
516001	"Mt Hobson"	960	4	1158.00
516002	"Remuera South"	930	3	3390.00
516003	"Abbotts Park"	914	2	3779.00
516101	"Remuera West"	897	1	2605.00
516102	"Waitaramoa"	895	1	3892.00
516201	"Orakei South"	897	1	3177.00
516202	"Waiata"	886	1	3937.00
516301	"Meadowbank North"	942	3	5609.00
516302	"Meadowbank South"	909	1	4419.00
516400	"Orakei North"	1018	7	4668.00
516500	"Mission Bay"	910	1	4850.00
516601	"Kohimarama West"	904	1	3016.00
516602	"Kohimarama East"	888	1	3315.00
516700	"St Heliers"	887	1	4477.00
516800	"Glendowie"	892	1	3669.00
516900	"Glen Innes North"	998	6	4824.00
517001	"Glen Innes West"	1155	10	4051.00
517002	"Glen Innes East"	1193	10	2791.00
517100	"Point England"	1239	10	3816.00
517200	"St Johns"	1000	6	2709.00
517400	"Newmarket"	990	6	1298.00
517500	"Kingsland"	1005	7	3928.00
517600	"St Lukes"	1025	8	3447.00
517701	"Sandringham North"	989	6	2773.00
517702	"Sandringham West"	1018	7	3955.00
517703	"Sandringham East"	1031	8	2952.00
517800	"Mt Albert Central"	964	5	4920.00
