SA22018_V1,SA22018__1,LAND_AREA_,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,SA22018_name,SA2_average_NZDep2018,SA2_average_NZDep2018_score,URPopnSA2_2018,TALB2018_V,TALB2018_1
"228800",Newbury,34.732669260000002,34.732669260000002,1819157.432400000048801,5531977.462949999608099,-40.333988789999999,175.579928849999988,Newbury,"5","965","1905","04000",Palmerston North City
"228900",Palmerston North Airport,7.537053820000000,7.537053820000000,1822837.938249999890104,5534271.592500000260770,-40.312367840000000,175.622413609999995,Palmerston North Airport,"2","921","324","04000",Palmerston North City
"229000",Milson North,0.965281720000000,0.965281720000000,1821506.449899999890476,5532675.934999999590218,-40.327082720000000,175.607312489999998,Milson North,"4","962","2478","04000",Palmerston North City
"229100",Cloverlea (Palmerston North City),0.676069110000000,0.676069110000000,1819568.048299999907613,5530726.219800000078976,-40.345142199999998,175.585188069999987,Cloverlea (Palmerston North),"6","1000","1893","04000",Palmerston North City
"229200",Tremaine,4.401591530000000,4.401591530000000,1820729.909149999963120,5531297.923449999652803,-40.339690419999997,175.598656909999988,Tremaine,"10","1120","471","04000",Palmerston North City
"229300",Milson South,1.229728650000000,1.229728650000000,1821290.362500000046566,5531865.022149999625981,-40.334438179999999,175.605052250000000,Milson South,"7","1008","2973","04000",Palmerston North City
"229400",Whakarongo,51.730699299999998,51.730699299999998,1828680.635199999902397,5534270.745299999602139,-40.310796959999998,175.691101339999989,Whakarongo,"2","917","1644","04000",Palmerston North City
"229500",Westbrook,1.129115430000000,1.129115430000000,1818925.728899999987334,5529571.667750000022352,-40.355702039999997,175.578028590000002,Westbrook,"9","1108","2997","04000",Palmerston North City
"229600",Takaro North,1.119675270000000,1.119675270000000,1820699.571299999952316,5530165.988350000232458,-40.349885829999998,175.598691269999989,Takaro North,"8","1042","3294","04000",Palmerston North City
"229700",Pioneer West,2.363845770000000,2.363845770000000,1818056.888749999925494,5527685.943199999630451,-40.372901409999997,175.568451560000000,Pioneer West,"3","945","264","04000",Palmerston North City
"229800",Palmerston North Hospital,1.074124640000000,1.074124640000000,1822096.403450000099838,5531029.522149999625981,-40.341743559999998,175.614822169999997,Palmerston North Hospital,"6","995","2562","04000",Palmerston North City
"229900",Highbury East,1.160720940000000,1.160720940000000,1819605.309899999992922,5528924.930700000375509,-40.361344099999997,175.586246039999992,Highbury East,"10","1196","2958","04000",Palmerston North City
"230000",Park West,0.928568360000000,0.928568360000000,1818786.091400000033900,5528391.515200000256300,-40.366360170000000,175.576790460000012,Park West,"8","1033","1908","04000",Palmerston North City
"230100",Takaro South,0.876527770000000,0.876527770000000,1820244.662699999986216,5529404.709599999710917,-40.356857529999999,175.593602680000004,Takaro South,"7","1027","2454","04000",Palmerston North City
"230200",Roslyn (Palmerston North City),1.150757310000000,1.150757310000000,1823317.999950000084937,5531689.945600000210106,-40.335473980000003,175.628959290000012,Roslyn (Palmerston North),"9","1066","2364","04000",Palmerston North City
"230300",Kelvin Grove West,0.781901580000000,0.781901580000000,1824653.718099999940023,5532418.282700000330806,-40.328560850000002,175.644411859999991,Kelvin Grove West,"7","1011","2631","04000",Palmerston North City
"230400",Kelvin Grove North,2.141795680000000,2.141795680000000,1826042.103300000075251,5533057.899899999611080,-40.322429939999999,175.660511799999995,Kelvin Grove North,"1","904","2238","04000",Palmerston North City
"230500",Papaioea North,0.803866350000000,0.803866350000000,1822426.586249999934807,5530412.088600000366569,-40.347212440000000,175.618920730000013,Papaioea North,"9","1075","2511","04000",Palmerston North City
"230600",Palmerston North Central,1.843815260000000,1.843815260000000,1821651.415049999952316,5529527.817200000397861,-40.355377019999999,175.610109620000003,Palmerston North Central,"10","1139","1116","04000",Palmerston North City
"230700",Awapuni North,1.233503130000000,1.233503130000000,1819785.398150000022724,5527927.598500000312924,-40.370272679999999,175.588708459999992,Awapuni North (Palmerston North),"9","1077","3504","04000",Palmerston North City
"230800",Terrace End,1.202792850000000,1.202792850000000,1823693.948450000025332,5530989.122349999845028,-40.341680560000000,175.633626039999996,Terrace End,"9","1098","3462","04000",Palmerston North City
