SA22018_V1,SA22018__1,LAND_AREA_,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,SA22018_name,SA2_average_NZDep2018,SA2_average_NZDep2018_score,URPopnSA2_2018,TALB2018_V,TALB2018_1
"230900",Maraetarata,2.331618770000000,2.331618770000000,1818925.741949999937788,5526441.603400000371039,-40.383872869999998,175.579103110000005,Maraetarata,"2","930","1422","04000",Palmerston North City
"231000",Papaioea South,0.600503500000000,0.600503500000000,1822966.941850000061095,5529853.750199999660254,-40.352093170000003,175.625471709999999,Papaioea South,"8","1060","1947","04000",Palmerston North City
"231100",Royal Oak (Palmerston North City),1.626160190000000,1.626160190000000,1826191.187050000065938,5532129.859699999913573,-40.330741529999997,175.662593119999997,Royal Oak (Palmerston North),"1","905","2334","04000",Palmerston North City
"231200",West End,1.167577280000000,1.167577280000000,1821039.784250000026077,5528146.018849999643862,-40.367975360000003,175.603392939999992,West End,"9","1070","2832","04000",Palmerston North City
"231300",Awapuni South,1.705567880000000,1.705567880000000,1820162.044650000054389,5527075.195100000128150,-40.377844930000002,175.593434720000005,Awapuni South (Palmerston North),"4","958","3366","04000",Palmerston North City
"231400",Milverton,0.564510370000000,0.564510370000000,1822462.975099999923259,5529023.983550000004470,-40.359695430000002,175.619832510000009,Milverton,"8","1037","1950","04000",Palmerston North City
"231500",Ruamahanga,1.531707120000000,1.531707120000000,1824375.972199999960139,5530132.661550000309944,-40.349205380000001,175.641948579999990,Ruamahanga,"6","998","2715","04000",Palmerston North City
"231600",Esplanade,1.305758480000000,1.305758480000000,1821967.301100000040606,5528191.069500000216067,-40.367323560000003,175.614290750000009,Esplanade,"7","1022","2082","04000",Palmerston North City
"231700",Hokowhitu Central,0.910323980000000,0.910323980000000,1822971.044549999991432,5528784.927749999798834,-40.361711229999997,175.625893370000000,Hokowhitu Central,"3","942","2343","04000",Palmerston North City
"231800",Hokowhitu East,1.243099480000000,1.243099480000000,1823871.702550000045449,5529238.746799999848008,-40.357385770000000,175.636330439999995,Hokowhitu East,"3","948","3111","04000",Palmerston North City
"231900",Turitea,9.646698740000000,9.646698740000000,1821410.154850000049919,5525628.237800000235438,-40.390536779999998,175.608625289999992,Turitea,"8","1039","444","04000",Palmerston North City
"232000",Ruahine,1.579733950000000,1.579733950000000,1823431.915650000097230,5527841.069299999624491,-40.370082359999998,175.631646119999999,Ruahine,"2","930","1566","04000",Palmerston North City
"232100",Linton Camp,4.983245460000000,4.983245460000000,1819545.051699999952689,5524065.766350000165403,-40.405092470000000,175.587210790000000,Linton Camp,"5","971","1668","04000",Palmerston North City
"232200",Ashhurst,4.233337720000000,4.233337720000000,1834485.271399999968708,5536274.985700000077486,-40.291152510000003,175.758601650000003,Ashhurst,"4","962","2934","04000",Palmerston North City
"232300",Hokowhitu South,0.895362570000000,0.895362570000000,1824295.686999999918044,5528246.256849999539554,-40.366203939999998,175.641667170000005,Hokowhitu South,"7","1010","1980","04000",Palmerston North City
"232400",Aokautere,7.142363520000000,7.142363520000000,1825522.367599999997765,5527865.680549999698997,-40.369298160000000,175.656234409999996,Aokautere,"1","885","765","04000",Palmerston North City
"232500",Pihauatua,143.776028830000001,143.776028830000001,1820870.176049999892712,5518720.388199999928474,-40.452849510000000,175.604667909999989,Pihautua,"1","911","1227","04000",Palmerston North City
"232600",Aokautere Rural,83.313023049999998,83.313023049999998,1830777.208099999930710,5527858.254900000058115,-40.367927399999999,175.718064090000013,Aokautere Rural,"1","905","690","04000",Palmerston North City
"232700",Poutoa,7.063927220000000,7.063927220000000,1824536.983250000048429,5525590.671649999916553,-40.390038199999999,175.645441440000013,Poutoa,"1","895","3318","04000",Palmerston North City
"232800",Norsewood,397.347588770000016,397.347588770000016,1868558.405400000046939,5555119.835450000129640,-40.111382140000003,176.151050069999997,Norsewood,"6","1002","1611","04100",Tararua District
"232900",Papatawa,230.089223959999998,230.089223959999998,1854920.210050000110641,5543429.766350000165403,-40.220801799999997,175.995866629999995,Papatawa,"4","964","1302","04100",Tararua District
"233000",Mangatainoka,496.501437979999992,496.501437979999992,1839791.612849999917671,5524279.326299999840558,-40.397588460000001,175.825460850000013,Mangatainoka,"6","1002","1743","04100",Tararua District
"233100",Woodville,4.039404820000000,4.039404820000000,1843481.529850000049919,5530923.080849999561906,-40.336738310000001,175.866352229999990,Woodville,"9","1081","1548","04100",Tararua District
"233200",Dannevirke West,2.073938050000000,2.073938050000000,1864080.699199999915436,5545748.496150000020862,-40.197106779999999,176.102423359999989,Dannevirke West,"8","1058","2148","04100",Tararua District
"233300",Dannevirke East,4.739034910000000,4.739034910000000,1864005.352799999993294,5544296.222099999897182,-40.210195519999999,176.102135460000000,Dannevirke East,"10","1122","3360","04100",Tararua District
"233400",Waitahora,538.281817459999957,538.281817459999957,1873350.508900000015274,5533897.965149999596179,-40.300736590000000,176.216212869999993,Waitahora,"4","961","609","04100",Tararua District
"233500",Kaitawa,583.426687229999970,583.426687229999970,1852358.917900000000373,5515540.230150000192225,-40.472502239999997,175.976825130000009,Kaitawa,"6","995","618","04100",Tararua District
"233600",Pahiatua,3.861444760000000,3.861444760000000,1840585.827250000089407,5517911.321000000461936,-40.454659309999997,175.837216829999988,Pahiatua,"9","1065","2682","04100",Tararua District
"233700",Nireaha-Eketahuna,892.633590710000021,892.633590710000021,1836216.761050000088289,5495936.938550000078976,-40.653642689999998,175.793964549999998,Nireaha-Eketahuna,"8","1040","1566","04100",Tararua District
"233800",Owhanga,1142.489602950000062,1142.489602950000062,1880471.894599999999627,5510011.872800000011921,-40.513213290000003,176.310392409999992,Owhanga,"6","988","750","04100",Tararua District
"233900",Mara,69.092718030000000,69.092718030000000,1874536.272750000003725,5488619.292249999940395,-40.707610899999999,176.249760369999990,Mara,,,"3","04100",Tararua District
"234000",Kere Kere,228.556230080000006,228.556230080000006,1796207.829099999973550,5511155.472799999639392,-40.527132729999998,175.316411850000009,Kere Kere,"6","1002","915","04200",Horowhenua District
"234100",Foxton Beach,2.637363670000000,2.637363670000000,1789131.769400000106543,5518347.057500000111759,-40.464036950000001,175.230787590000006,Foxton Beach,"7","1016","1884","04200",Horowhenua District
"234200",Foxton North,4.533256670000000,4.533256670000000,1794568.959700000006706,5517476.052799999713898,-40.470622450000000,175.295137509999989,Foxton North,"9","1106","1383","04200",Horowhenua District
"234300",Foxton South,7.037834790000000,7.037834790000000,1795878.440350000048056,5515929.210450000129640,-40.484239010000003,175.311049929999996,Foxton South,"10","1135","1764","04200",Horowhenua District
"234400",Waitarere,94.701840980000000,94.701840980000000,1791050.814400000032037,5506106.731200000271201,-40.573785409999999,175.257100240000000,Waitarere,"6","986","2142","04200",Horowhenua District
"234500",Waikawa (Horowhenua District),62.178065119999999,62.178065119999999,1785027.396799999987707,5497407.926199999637902,-40.653462540000000,175.188543670000001,Waikawa (Horowhenua District),"7","1013","750","04200",Horowhenua District
"234600",Miranui,297.066245019999997,297.066245019999997,1810130.866549999918789,5509844.461550000123680,-40.535521539999998,175.481079910000005,Miranui,"5","974","1788","04200",Horowhenua District
"234700",Donnelly Park,1.903739750000000,1.903739750000000,1792062.235600000014529,5501595.042999999597669,-40.614164660000000,175.270414479999999,Donnelly Park,"9","1108","1191","04200",Horowhenua District
"234800",Ohau-Manakau,42.227752860000002,42.227752860000002,1786505.604400000069290,5492327.677199999801815,-40.698862570000003,175.207524629999995,Ohau-Manakau,"5","971","2154","04200",Horowhenua District
"234900",Kawiu South,1.023869460000000,1.023869460000000,1793201.655849999981001,5501463.999699999578297,-40.615078769999997,175.283913890000008,Kawiu South,"8","1053","2409","04200",Horowhenua District
"235000",Makomako,0.856557500000000,0.856557500000000,1792385.257800000021234,5500493.999599999748170,-40.624000840000001,175.274566459999988,Makomako,"10","1166","1413","04200",Horowhenua District
"235100",Kawiu North,1.757694040000000,1.757694040000000,1794608.813799999887124,5501578.917949999682605,-40.613714270000003,175.300500269999986,Kawiu North,"5","965","1770","04200",Horowhenua District
"235200",Levin Central,1.047604970000000,1.047604970000000,1793256.903299999888986,5500548.186250000260770,-40.623309700000000,175.284847500000012,Levin Central,"10","1177","1047","04200",Horowhenua District
"235300",Tararua,10.746679000000000,10.746679000000000,1795268.134199999971315,5498413.341900000348687,-40.642053709999999,175.309270029999993,Tararua,"9","1085","1152","04200",Horowhenua District
"235400",Shannon,2.943908330000000,2.943908330000000,1804347.259950000094250,5508409.201150000095367,-40.549886059999999,175.413313289999991,Shannon,"10","1153","1398","04200",Horowhenua District
"235500",Queenwood (Horowhenua District),0.826046700000000,0.826046700000000,1794257.234100000001490,5500807.612999999895692,-40.620739929999999,175.296585230000005,Queenwood (Levin),"9","1111","2076","04200",Horowhenua District
"235600",Playford Park,0.851767830000000,0.851767830000000,1793708.089099999982864,5499916.895100000314415,-40.628886710000003,175.290371980000003,Playford Park,"10","1123","1815","04200",Horowhenua District
"235700",Fairfield (Horowhenua District),1.738548010000000,1.738548010000000,1795336.280700000002980,5500705.598249999806285,-40.621403899999997,175.309363960000013,Fairfield (Levin),"7","1013","1473","04200",Horowhenua District
"235800",Taitoko,0.920183500000000,0.920183500000000,1793590.135999999940395,5499073.454900000244379,-40.636506670000003,175.289237799999995,Taitoko,"10","1233","1911","04200",Horowhenua District
"235900",Waiopehu,0.759260780000000,0.759260780000000,1794428.228550000116229,5499534.458549999631941,-40.632160089999999,175.298998409999996,Waiopehu,"9","1088","1422","04200",Horowhenua District
"236000",Makahika,170.223941830000001,170.223941830000001,1803036.277000000001863,5497128.254549999721348,-40.651747540000002,175.401476809999991,Makahika,"4","962","960","04200",Horowhenua District
"236100",Kimberley,129.452393590000014,129.452393590000014,1794152.597649999894202,5490559.074199999682605,-40.713016799999998,175.298515890000004,Kimberley,"5","980","447","04200",Horowhenua District
"236200",Kapiti Island,19.258515209999999,19.258515209999999,1761068.119350000051782,5475484.875599999912083,-40.855872099999999,174.910954220000008,Kapiti Island,,,"0","04300",Kapiti Coast District
"236300",Otaki Beach,3.367641890000000,3.367641890000000,1778620.027749999891967,5486238.538900000043213,-40.755426810000003,175.115987270000005,Otaki Beach,"9","1067","1818","04300",Kapiti Coast District
"236400",Forest Lakes (Kapiti Coast District),38.094854490000003,38.094854490000003,1783180.996849999995902,5487430.303949999623001,-40.743695340000002,175.169632570000005,Forest Lakes (Kapiti Coast District),"3","947","663","04300",Kapiti Coast District
"236500",Otaki,8.476872660000000,8.476872660000000,1780625.623700000112876,5486454.868200000375509,-40.753041390000000,175.139668019999988,Otaki,"9","1087","3489","04300",Kapiti Coast District
"236600",Te Horo,31.861436019999999,31.861436019999999,1777655.480650000041351,5481631.619250000454485,-40.797109470000002,175.105878130000008,Te Horo,"3","946","1422","04300",Kapiti Coast District
"236700",Waitohu,0.737868940000000,0.737868940000000,1782936.487149999942631,5485647.562149999663234,-40.759798269999997,175.167259800000011,Waitohu,"7","1009","1011","04300",Kapiti Coast District
"236800",Waikanae Beach,4.365584000000000,4.365584000000000,1770834.152449999935925,5474292.089350000023842,-40.864633329999997,175.027081320000008,Waikanae Beach,"4","956","3249","04300",Kapiti Coast District
"236900",Peka Peka,10.019943730000000,10.019943730000000,1774927.634150000056252,5477230.718349999748170,-40.837314550000002,175.074797910000001,Peka Peka,"1","907","612","04300",Kapiti Coast District
"237000",Paraparaumu Beach North,2.143825200000000,2.143825200000000,1768410.651450000004843,5472521.399600000120699,-40.881076430000000,174.998820940000002,Paraparaumu Beach North,"5","965","4056","04300",Kapiti Coast District
"237100",Paraparaumu Beach West,1.594591460000000,1.594591460000000,1767196.002700000070035,5471340.647499999962747,-40.891955629999998,174.984730579999990,Paraparaumu Beach West,"6","994","2364","04300",Kapiti Coast District
"237200",Waikanae Park,7.360018830000000,7.360018830000000,1772707.840099999913946,5474483.809799999929965,-40.862514560000001,175.049247379999997,Waikanae Park,"3","939","2085","04300",Kapiti Coast District
"237300",Paraparaumu Beach East,1.067179750000000,1.067179750000000,1767917.525549999903888,5471003.953649999573827,-40.894839189999999,174.993381629999988,Paraparaumu Beach East,"4","958","2667","04300",Kapiti Coast District
"237400",Otaihanga,4.473995240000000,4.473995240000000,1770852.447200000053272,5472262.558650000020862,-40.882900939999999,175.027855929999987,Otaihanga,"2","931","804","04300",Kapiti Coast District
"237500",Paraparaumu North,3.533220630000000,3.533220630000000,1769436.968050000024959,5470998.763600000180304,-40.894572799999999,175.011410089999998,Paraparaumu North,"3","941","3555","04300",Kapiti Coast District
"237600",Waikanae West,4.674335670000000,4.674335670000000,1774147.321800000034273,5474065.105999999679625,-40.865979340000003,175.066434070000014,Waikanae West,"4","958","4374","04300",Kapiti Coast District
"237700",Otaki Forks,87.257591869999999,87.257591869999999,1784419.489950000075623,5478501.288099999539554,-40.823797810000002,175.186927620000006,Otaki Forks,"3","936","777","04300",Kapiti Coast District
"237800",Paraparaumu Central,4.464763020000000,4.464763020000000,1768345.954099999973550,5469532.899100000038743,-40.907994950000003,174.998863480000011,Paraparaumu Central,"7","1029","3996","04300",Kapiti Coast District
"237900",Maungakotukutuku,112.700537249999996,112.700537249999996,1772378.408550000051036,5466230.505950000137091,-40.936885429999997,175.047631940000002,Maungakotukutuku,"1","910","1335","04300",Kapiti Coast District
"238000",Raumati Beach West,1.749542690000000,1.749542690000000,1766919.752700000070035,5468695.968700000084937,-40.915822020000000,174.982164219999987,Raumati Beach West,"3","944","2865","04300",Kapiti Coast District
"238100",Waikanae East,3.193984060000000,3.193984060000000,1775189.489099999889731,5473927.922149999998510,-40.866992179999997,175.078831339999994,Waikanae East,"2","926","2391","04300",Kapiti Coast District
"238200",Tararua Forest Park,365.628613009999981,365.628613009999981,1789118.963449999922886,5468710.459950000047684,-40.910860640000003,175.245592549999998,Tararua Forest Park (Kapiti Coast),,,"0","04300",Kapiti Coast District
"238300",Raumati Beach East,1.424244000000000,1.424244000000000,1767792.501050000078976,5468005.198750000447035,-40.921862390000001,174.992708929999992,Raumati Beach East,"6","984","2376","04300",Kapiti Coast District
"238400",Paraparaumu East,2.511835050000000,2.511835050000000,1769412.136399999959394,5468247.547149999998510,-40.919346650000001,175.011866330000004,Paraparaumu East,"7","1023","2265","04300",Kapiti Coast District
"238500",Raumati South,5.645589910000000,5.645589910000000,1766950.610150000080466,5465869.072300000116229,-40.941266120000002,174.983291559999998,Raumati South,"3","944","3753","04300",Kapiti Coast District
"238600",Paekakariki,5.893317260000000,5.893317260000000,1765666.846200000029057,5462498.972199999727309,-40.971868319999999,174.968951360000005,Paekakariki,"4","960","1746","04300",Kapiti Coast District
"238700",Mana Island,2.113475990000000,2.113475990000000,1749605.274350000079721,5449969.975100000388920,-41.087779099999999,174.781190640000005,Mana Island,,,"0","04400",Porirua City
"238800",Pukerua Bay,8.172236430000000,8.172236430000000,1757462.224900000030175,5454646.025550000369549,-41.044195449999997,174.873492639999995,Pukerua Bay,"2","914","1962","04400",Porirua City
"238900",Paekakariki Hill,35.790139330000002,35.790139330000002,1760418.691649999935180,5453176.604399999603629,-41.056847779999998,174.909032830000001,Paekakariki Hill,"1","895","375","04400",Porirua City
"239000",Plimmerton,5.125900070000000,5.125900070000000,1756305.775050000054762,5452061.814949999563396,-41.067684929999999,174.860395720000014,Plimmerton,"2","916","2142","04400",Porirua City
"239100",Titahi Bay North,2.009620230000000,2.009620230000000,1754845.864550000056624,5448652.484050000086427,-41.098659800000000,174.843886150000003,Titahi Bay North,"8","1057","2688","04400",Porirua City
"239200",Titahi Bay South,3.542568730000000,3.542568730000000,1753392.433200000086799,5447046.452200000174344,-41.113395310000001,174.826988180000001,Titahi Bay South,"9","1077","3744","04400",Porirua City
"239300",Elsdon-Takapuwahia,10.299549610000000,10.299549610000000,1751880.464600000064820,5445006.738699999637902,-41.132044080000000,174.809492960000000,Elsdon-Takapuwahia,"9","1113","2418","04400",Porirua City
"239400",Pauatahanui,75.947280640000002,75.947280640000002,1763493.219999999972060,5448887.004499999806285,-41.094854890000001,174.946740140000003,Pauatahanui,"1","886","966","04400",Porirua City
"239500",Onepoto,2.241181170000000,2.241181170000000,1755585.666699999943376,5448044.991150000132620,-41.103987979999999,174.852844989999994,Onepoto,"5","982","1917","04400",Porirua City
"239600",Camborne,0.835089370000000,0.835089370000000,1757442.886949999956414,5449673.178050000220537,-41.088971260000001,174.874534149999988,Camborne,"1","893","2013","04400",Porirua City
"239700",Inlet Porirua Harbour,0.000000000000000,7.232515590000000,1758801.818049999885261,5448645.574550000019372,-41.097958650000002,174.890970729999992,Inlet Porirua Harbour,,,"0","04400",Porirua City
"239800",Paremata,1.615893880000000,2.021854450000000,1756791.841749999905005,5448587.871849999763072,-41.098868420000002,174.867063400000006,Paremata,"2","924","2463","04400",Porirua City
"239900",Porirua Central,6.723711380000000,6.723711380000000,1753219.692950000055134,5443446.092249999754131,-41.145843589999998,174.825830470000000,Porirua Central,"10","1126","261","04400",Porirua City
"240000",Papakowhai,1.430414190000000,1.430414190000000,1756452.528750000055879,5446699.804499999620020,-41.115932639999997,174.863505640000000,Papakowhai,"1","911","2268","04400",Porirua City
"240100",Aotea,2.678776850000000,2.678776850000000,1755896.468499999959022,5445342.731900000013411,-41.128257699999999,174.857230270000002,Aotea,"1","888","3138","04400",Porirua City
"240200",Postgate,1.288801250000000,1.288801250000000,1758040.988850000081584,5446956.444199999794364,-41.113314539999998,174.882350040000006,Postgate,"2","926","2754","04400",Porirua City
"240300",Ascot Park,1.119596000000000,1.119596000000000,1757270.865599999902770,5446230.123499999754131,-41.120003240000003,174.873368139999997,Ascot Park,"9","1075","2862","04400",Porirua City
"240400",Whitby,2.043962000000000,2.043962000000000,1758764.077100000111386,5446512.397749999538064,-41.117171339999999,174.891072680000008,Whitby,"1","908","3042","04400",Porirua City
"240500",Porirua East,1.211800210000000,1.211800210000000,1755730.829900000011548,5443696.173899999819696,-41.143113939999999,174.855675850000011,Porirua East,"10","1163","2235","04400",Porirua City
"240600",Endeavour,3.122565290000000,3.122565290000000,1759868.947750000050291,5446774.892199999652803,-41.114591359999999,174.904157789999999,Endeavour,"1","875","4617","04400",Porirua City
"240700",Cannons Creek North,1.056918220000000,1.056918220000000,1756322.588400000007823,5444063.595700000412762,-41.139692160000003,174.862630010000004,Cannons Creek North,"10","1240","3474","04400",Porirua City
"240800",Waitangirua,1.224026230000000,1.224026230000000,1757803.949999999953434,5445125.350300000049174,-41.129846309999998,174.879998790000002,Waitangirua,"10","1247","4398","04400",Porirua City
"240900",Ranui Heights,2.352280650000000,2.352280650000000,1755240.490800000028685,5442762.995350000448525,-41.151609579999999,174.850072140000009,Ranui Heights (Porirua),"5","982","1326","04400",Porirua City
"241000",Cannons Creek East,1.456048090000000,1.456048090000000,1757064.592650000005960,5444321.698850000277162,-41.137225139999998,174.871400630000011,Cannons Creek East,"10","1222","3879","04400",Porirua City
"241100",Cannons Creek South,1.407959730000000,1.407959730000000,1757036.723999999929219,5442903.687099999748170,-41.149997169999999,174.871431779999995,Cannons Creek South,"10","1207","1620","04400",Porirua City
"241200",Akatarawa,334.144463229999985,334.144463229999985,1779381.781149999937043,5457213.476800000295043,-41.016550019999997,175.133383759999987,Akatarawa,"2","916","648","04500",Upper Hutt City
"241300",Riverstone Terraces,2.236282960000000,2.236282960000000,1771135.653099999995902,5446801.956299999728799,-41.112052169999998,175.038266529999987,Riverstone Terraces,"1","887","1776","04500",Upper Hutt City
"241400",Heretaunga,3.260946400000000,3.260946400000000,1769453.447750000050291,5443872.887550000101328,-41.138773590000000,175.019051429999990,Heretaunga,"4","959","2496","04500",Upper Hutt City
"241500",Birchville-Brown Owl,8.892895370000000,8.892895370000000,1777493.862350000068545,5449548.890350000001490,-41.085960129999997,175.113152899999989,Birchville-Brown Owl,"4","950","3519","04500",Upper Hutt City
"241600",Poets Block,1.241606090000000,1.241606090000000,1771760.561950000002980,5445581.835049999877810,-41.122904190000000,175.046046009999998,Poets Block,"6","987","2472","04500",Upper Hutt City
"241700",Brentwood (Upper Hutt City),0.982661970000000,0.982661970000000,1770967.963650000048801,5444933.371199999935925,-41.128909139999998,175.036790719999999,Brentwood (Upper Hutt),"8","1033","2241","04500",Upper Hutt City
"241800",Silverstream (Upper Hutt City),2.644137390000000,2.644137390000000,1768643.833649999927729,5442392.440849999897182,-41.152269879999999,175.009817559999988,Silverstream (Upper Hutt),"2","920","3531","04500",Upper Hutt City
"241900",Elderslea,1.395338580000000,1.395338580000000,1772761.113450000062585,5445858.682099999859929,-41.120199700000001,175.057879560000003,Elderslea,"7","1013","3429","04500",Upper Hutt City
"242000",Trentham North,1.023959030000000,1.023959030000000,1771700.929149999981746,5444481.147049999795854,-41.132825500000003,175.045643939999991,Trentham North,"7","1024","3084","04500",Upper Hutt City
"242100",Totara Park,1.724094860000000,1.724094860000000,1775019.213699999963865,5447012.925950000062585,-41.109325599999998,175.084431630000012,Totara Park,"5","965","2901","04500",Upper Hutt City
"242200",Trentham South,8.123816240000000,8.123816240000000,1771254.626649999991059,5442705.415400000289083,-41.148905440000000,175.040825610000013,Trentham South,"7","1025","1809","04500",Upper Hutt City
"242300",Mangaroa,154.553387439999995,154.553387439999995,1777701.944549999898300,5441686.326200000010431,-41.156692600000000,175.117903750000011,Mangaroa,"1","894","2034","04500",Upper Hutt City
"242400",Ebdentown,0.911065420000000,0.911065420000000,1773987.402250000042841,5445989.841199999675155,-41.118757189999997,175.072440489999991,Ebdentown,"7","1027","2481","04500",Upper Hutt City
"242500",Wallaceville,0.699025630000000,0.699025630000000,1772989.213350000092760,5444888.459950000047684,-41.128885279999999,175.060868290000002,Wallaceville,"7","1014","2388","04500",Upper Hutt City
"242600",Maoribank,3.485283150000000,3.485283150000000,1777072.993749999906868,5447303.462299999780953,-41.106265180000001,175.108792120000004,Maoribank,"7","1021","3318","04500",Upper Hutt City
"242700",Te Marua,5.570208850000000,5.570208850000000,1780023.044049999909475,5449181.968550000339746,-41.088707059999997,175.143351450000011,Te Marua,"3","938","975","04500",Upper Hutt City
"242800",Pinehaven,5.593096450000000,5.593096450000000,1769262.189000000013039,5440580.969949999824166,-41.168448669999997,175.017682739999998,Pinehaven,"1","908","1983","04500",Upper Hutt City
"242900",Clouston Park,1.150832130000000,1.150832130000000,1775224.025099999969825,5446111.407349999994040,-41.117396990000003,175.087126460000007,Clouston Park,"6","1001","2289","04500",Upper Hutt City
"243000",Upper Hutt Central,2.235894940000000,2.235894940000000,1774286.376600000075996,5445054.657949999906123,-41.127111720000002,175.076264900000012,Upper Hutt Central,"4","958","615","04500",Upper Hutt City
"243100",Belmont Park,29.471689820000002,29.471689820000002,1760691.187649999978021,5440678.530799999833107,-41.169314499999999,174.915542990000006,Belmont Park,"1","908","333","04600",Lower Hutt City
"243200",Maungaraki,2.110217350000000,2.110217350000000,1757607.459849999984726,5436403.341350000351667,-41.208409779999997,174.879903070000012,Maungaraki,"2","915","3987","04600",Lower Hutt City
"243300",Korokoro,1.849429090000000,1.849429090000000,1756576.671850000042468,5435623.864199999719858,-41.215627509999997,174.867814019999997,Korokoro,"2","916","1482","04600",Lower Hutt City
"243400",Kelson,5.357717380000000,5.357717380000000,1762981.363099999958649,5440250.384349999949336,-41.172711839999998,174.942942369999997,Kelson,"1","901","2835","04600",Lower Hutt City
"243500",Normandale,1.447064160000000,1.447064160000000,1758735.003899999894202,5436929.766750000417233,-41.203450089999997,174.893208479999998,Normandale,"1","902","2010","04600",Lower Hutt City
"243600",Belmont (Lower Hutt City),2.362549070000000,2.362549070000000,1761118.149350000079721,5438363.846400000154972,-41.190068599999996,174.921239009999994,Belmont (Lower Hutt),"1","906","2691","04600",Lower Hutt City
